id,species,generation_id,height,weight,base_experience,type_1,type_2,hp,attack,defense,speed,special-attack,special-defense,description
140,kabuto,1,0.5,11.5,71,rock,water,30,80,90,55,55,45,"Kabuto is a Pokémon that has been regenerated from a fossil. However, in extremely rare cases, living examples have been discovered. The Pokémon has not changed at all for 300 million years."
141,kabutops,1,1.3,40.5,173,rock,water,60,115,105,80,65,70,"Kabutops swam underwater to hunt for its prey in ancient times. The Pokémon was apparently evolving from being a water dweller to living on land as evident from the beginnings of change in its gills and legs."
142,aerodactyl,1,1.8,59.0,180,rock,flying,80,105,65,130,60,75,"Aerodactyl is a Pokémon from the age of dinosaurs. It was regenerated from genetic material extracted from amber. It is imagined to have been the king of the skies in ancient times."
143,snorlax,1,2.1,460.0,189,normal,,160,110,65,30,65,110,"Snorlax's typical day consists of nothing more than eating and sleeping. It is such a docile Pokémon that there are children who use its expansive belly as a place to play."
144,articuno,1,1.7,55.4,261,ice,flying,90,85,100,85,95,125,"Articuno is a legendary bird Pokémon that can control ice. The flapping of its wings chills the air. As a result, it is said that when this Pokémon flies, snow will fall."
146,moltres,1,2.0,60.0,261,fire,flying,90,100,90,90,125,85,"Moltres is a legendary bird Pokémon that has the ability to control fire. If this Pokémon is injured, it is said to dip its body in the molten magma of a volcano to burn and heal itself."
145,zapdos,1,1.6,52.6,261,electric,flying,90,90,85,100,125,90,"Zapdos is a legendary bird Pokémon that has the ability to control electricity. It usually lives in thunderclouds. The Pokémon gains power if it is stricken by lightning bolts."
147,dratini,1,1.8,3.3,60,dragon,,41,64,45,50,50,50,"Dratini continually molts and sloughs off its old skin. It does so because the life energy within its body steadily builds to reach uncontrollable levels."
148,dragonair,1,4.0,16.5,147,dragon,,61,84,65,70,70,70,"Dragonair stores an enormous amount of energy inside its body. It is said to alter weather conditions in its vicinity by discharging energy from the crystals on its neck and tail."
149,dragonite,1,2.2,210.0,270,dragon,flying,91,134,95,80,100,100,"Dragonite is capable of circling the globe in just 16 hours. It is a kindhearted Pokémon that leads lost and foundering ships in a storm to the safety of land."
150,mewtwo,1,2.0,122.0,306,psychic,,106,110,90,130,154,90,"Mewtwo is a Pokémon that was created by genetic manipulation. However, even though the scientific power of humans created this Pokémon's body, they failed to endow Mewtwo with a compassionate heart."
151,mew,1,0.4,4.0,270,psychic,,100,100,100,100,100,100,"Mew is said to possess the genetic composition of all Pokémon. It is capable of making itself invisible at will, so it entirely avoids notice even if it approaches people."
152,chikorita,2,0.9,6.4,64,grass,,45,49,65,45,49,65,"In battle, Chikorita waves its leaf around to keep the foe at bay. However, a sweet fragrance also wafts from the leaf, becalming the battling Pokémon and creating a cozy, friendly atmosphere all around."
153,bayleef,2,1.2,15.8,142,grass,,60,62,80,60,63,80,"Bayleef's neck is ringed by curled-up leaves. Inside each tubular leaf is a small shoot of a tree. The fragrance of this shoot makes people peppy."
154,meganium,2,1.8,100.5,236,grass,,80,82,100,80,83,100,"The fragrance of Meganium's flower soothes and calms emotions. In battle, this Pokémon gives off more of its becalming scent to blunt the foe's fighting spirit."
155,cyndaquil,2,0.5,7.9,62,fire,,39,52,43,65,60,50,"Cyndaquil protects itself by flaring up the flames on its back. The flames are vigorous if the Pokémon is angry. However, if it is tired, the flames splutter fitfully with incomplete combustion."
156,quilava,2,0.9,19.0,142,fire,,58,64,58,80,80,65,"Quilava keeps its foes at bay with the intensity of its flames and gusts of superheated air. This Pokémon applies its outstanding nimbleness to dodge attacks even while scorching the foe with flames."
157,typhlosion,2,1.7,79.5,240,fire,,78,84,78,100,109,85,"Typhlosion obscures itself behind a shimmering heat haze that it creates using its intensely hot flames. This Pokémon creates blazing explosive blasts that burn everything to cinders."
158,totodile,2,0.6,9.5,63,water,,50,65,64,43,44,48,"Despite the smallness of its body, Totodile's jaws are very powerful. While the Pokémon may think it is just playfully nipping, its bite has enough power to cause serious injury."
159,croconaw,2,1.1,25.0,142,water,,65,80,80,58,59,63,"Once Croconaw has clamped its jaws on its foe, it will absolutely not let go. Because the tips of its fangs are forked back like barbed fishhooks, they become impossible to remove when they have sunk in."
160,feraligatr,2,2.3,88.8,239,water,,85,105,100,78,79,83,"Feraligatr intimidates its foes by opening its huge mouth. In battle, it will kick the ground hard with its thick and powerful hind legs to charge at the foe at an incredible speed."
161,sentret,2,0.8,6.0,43,normal,,35,46,34,20,35,45,"When Sentret sleeps, it does so while another stands guard. The sentry wakes the others at the first sign of danger. When this Pokémon becomes separated from its pack, it becomes incapable of sleep due to fear."
162,furret,2,1.8,32.5,145,normal,,85,76,64,90,45,55,"Furret has a very slim build. When under attack, it can slickly squirm through narrow spaces and get away. In spite of its short limbs, this Pokémon is very nimble and fleet."
163,hoothoot,2,0.7,21.2,52,normal,flying,60,30,30,50,36,56,"Hoothoot has an internal organ that senses and tracks the earth's rotation. Using this special organ, this Pokémon begins hooting at precisely the same time every day."
164,noctowl,2,1.6,40.8,158,normal,flying,100,50,50,70,86,96,"Noctowl never fails at catching prey in darkness. This Pokémon owes its success to its superior vision that allows it to see in minimal light, and to its soft, supple wings that make no sound in flight."
165,ledyba,2,1.0,10.8,53,bug,flying,40,20,30,55,40,80,"Ledyba secretes an aromatic fluid from where its legs join its body. This fluid is used for communicating with others. This Pokémon conveys its feelings to others by altering the fluid's scent."
166,ledian,2,1.4,35.6,137,bug,flying,55,35,50,85,55,110,"It is said that in lands with clean air, where the stars fill the sky, there live Ledian in countless numbers. There is a good reason for this—the Pokémon uses the light of the stars as its energy."
167,spinarak,2,0.5,8.5,50,bug,poison,40,60,40,30,40,40,"The web spun by Spinarak can be considered its second nervous system. It is said that this Pokémon can determine what kind of prey is touching its web just by the tiny vibrations it feels through the web's strands."
168,ariados,2,1.1,33.5,140,bug,poison,70,90,70,40,60,70,"Ariados's feet are tipped with tiny hooked claws that enable it to scuttle on ceilings and vertical walls. This Pokémon constricts the foe with thin and strong silk webbing."
169,crobat,2,1.8,75.0,241,poison,flying,85,90,80,130,70,80,"If this Pokémon is flying by fluttering only a pair of wings on either the forelegs or hind legs, it's proof that Crobat has been flying a long distance. It switches the wings it uses if it is tired."
170,chinchou,2,0.5,12.0,66,water,electric,75,38,38,67,56,56,"Chinchou lets loose positive and negative electrical charges from its two antennas to make its prey faint. This Pokémon flashes its electric lights to exchange signals with others."
171,lanturn,2,1.2,22.5,161,water,electric,125,58,58,67,76,76,"Lanturn is nicknamed “the deep-sea star" for its illuminated antenna. This Pokémon produces light by causing a chemical reaction between bacteria and its bodily fluids inside the antenna."
172,pichu,2,0.3,2.0,41,electric,,20,40,15,60,35,35,"Pichu charges itself with electricity more easily on days with thunderclouds or when the air is very dry. You can hear the crackling of static electricity coming off this Pokémon."
173,cleffa,2,0.3,3.0,44,fairy,,50,25,28,15,45,55,"On nights with many shooting stars, Cleffa can be seen dancing in a ring. They dance through the night and stop only at the break of day, when these Pokémon quench their thirst with the morning dew."
174,igglybuff,2,0.3,1.0,42,normal,fairy,90,30,15,15,40,20,"Igglybuff's vocal cords are not sufficiently developed. It would hurt its throat if it were to sing too much. This Pokémon gargles with freshwater from a clean stream."
175,togepi,2,0.3,1.5,49,fairy,,35,20,65,20,40,65,"As its energy, Togepi uses the positive emotions of compassion and pleasure exuded by people and Pokémon. This Pokémon stores up feelings of happiness inside its shell, then shares them with others."
176,togetic,2,0.6,3.2,142,fairy,flying,55,40,85,40,80,105,"Togetic is said to be a Pokémon that brings good fortune. When the Pokémon spots someone who is pure of heart, it is said to appear and share its happiness with that person."
177,natu,2,0.2,2.0,64,psychic,flying,40,50,45,70,70,45,"Natu cannot fly because its wings are not yet fully grown. If your eyes meet with this Pokémon's eyes, it will stare back intently at you. But if you move even slightly, it will hop away to safety."
178,xatu,2,1.5,15.0,165,psychic,flying,65,75,70,95,95,70,"Xatu stands rooted and still in one spot all day long. People believe that this Pokémon does so out of fear of the terrible things it has foreseen in the future."
179,mareep,2,0.6,7.8,56,electric,,55,40,40,35,65,45,"Mareep's fluffy coat of wool rubs together and builds a static charge. The more static electricity is charged, the more brightly the lightbulb at the tip of its tail glows."
180,flaaffy,2,0.8,13.3,128,electric,,70,55,55,45,80,60,"Flaaffy's wool quality changes so that it can generate a high amount of static electricity with a small amount of wool. The bare and slick parts of its hide are shielded against electricity."
181,ampharos,2,1.4,61.5,230,electric,,90,75,85,55,115,90,"Ampharos gives off so much light that it can be seen even from space. People in the old days used the light of this Pokémon to send signals back and forth with others far away."
182,bellossom,2,0.4,5.8,221,grass,,75,80,95,50,90,100,"When Bellossom gets exposed to plenty of sunlight, the leaves ringing its body begin to spin around. This Pokémon's dancing is renowned in the southern lands."
183,marill,2,0.4,8.5,88,water,fairy,70,20,50,40,20,50,"Marill's oil-filled tail acts much like a life preserver. If you see just its tail bobbing on the water's surface, it's a sure indication that this Pokémon is diving beneath the water to feed on aquatic plants."
184,azumarill,2,0.8,28.5,189,water,fairy,100,50,80,50,60,80,"Azumarill's long ears are indispensable sensors. By focusing its hearing, this Pokémon can identify what kinds of prey are around, even in rough and fast-running rivers."
185,sudowoodo,2,1.2,38.0,144,rock,,70,100,115,30,30,65,"Sudowoodo camouflages itself as a tree to avoid being attacked by enemies. However, because its hands remain green throughout the year, the Pokémon is easily identified as a fake during the winter."
186,politoed,2,1.1,33.9,225,water,,90,75,75,70,90,100,"The curled hair on Politoed's head is proof of its status as a king. It is said that the longer and more curled the hair, the more respect this Pokémon earns from its peers."
187,hoppip,2,0.4,0.5,50,grass,flying,35,35,40,50,35,55,"This Pokémon drifts and floats with the wind. If it senses the approach of strong winds, Hoppip links its leaves with other Hoppip to prepare against being blown away."
188,skiploom,2,0.6,1.0,119,grass,flying,55,45,50,80,45,65,"Skiploom's flower blossoms when the temperature rises above 64 degrees Fahrenheit. How much the flower opens depends on the temperature. For that reason, this Pokémon is sometimes used as a thermometer."
189,jumpluff,2,0.8,3.0,207,grass,flying,75,55,70,110,55,95,"Jumpluff rides warm southern winds to cross the sea and fly to foreign lands. The Pokémon descends to the ground when it encounters cold air while it is floating."
190,aipom,2,0.8,11.5,72,normal,,55,70,55,85,40,55,"Aipom's tail ends in a hand-like appendage that can be cleverly manipulated. However, because the Pokémon uses its tail so much, its real hands have become rather clumsy."
191,sunkern,2,0.3,1.8,36,grass,,30,30,30,30,30,30,"Sunkern tries to move as little as it possibly can. It does so because it tries to conserve all the nutrients it has stored in its body for its evolution. It will not eat a thing, subsisting only on morning dew."
192,sunflora,2,0.8,8.5,149,grass,,75,75,55,30,105,85,"Sunflora converts solar energy into nutrition. It moves around actively in the daytime when it is warm. It stops moving as soon as the sun goes down for the night."
193,yanma,2,1.2,38.0,78,bug,flying,65,65,45,95,75,45,"Yanma is capable of seeing 360 degrees without having to move its eyes. It is a great flier that is adept at making sudden stops and turning midair. This Pokémon uses its flying ability to quickly chase down targeted prey."
194,wooper,2,0.4,8.5,42,water,ground,55,45,45,15,25,25,"Wooper usually lives in water. However, it occasionally comes out onto land in search of food. On land, it coats its body with a gooey, toxic film."
195,quagsire,2,1.4,75.0,151,water,ground,95,85,85,35,65,65,"Quagsire hunts for food by leaving its mouth wide open in water and waiting for its prey to blunder in unaware. Because the Pokémon does not move, it does not get very hungry."
196,espeon,2,0.9,26.5,184,psychic,,65,65,60,110,130,95,"Espeon is extremely loyal to any Trainer it considers to be worthy. It is said that this Pokémon developed its precognitive powers to protect its Trainer from harm."
197,umbreon,2,1.0,27.0,184,dark,,95,65,110,65,60,130,"Umbreon evolved as a result of exposure to the moon's waves. It hides silently in darkness and waits for its foes to make a move. The rings on its body glow when it leaps to attack."
198,murkrow,2,0.5,2.1,81,dark,flying,60,85,42,91,85,42,"Murkrow was feared and loathed as the alleged bearer of ill fortune. This Pokémon shows strong interest in anything that sparkles or glitters. It will even try to steal rings from women."
199,slowking,2,2.0,79.5,172,water,psychic,95,75,80,30,100,110,"Slowking undertakes research every day in an effort to solve the mysteries of the world. However, this Pokémon apparently forgets everything it has learned if the Shellder on its head comes off."
200,misdreavus,2,0.7,1.0,87,ghost,,60,60,60,85,85,85,"Misdreavus frightens people with a creepy, sobbing cry. The Pokémon apparently uses its red spheres to absorb the fearful feelings of foes and turn them into nutrition."
201,unown,2,0.5,5.0,118,psychic,,48,72,48,48,72,48,"This Pokémon is shaped like ancient writing. It is a mystery as to which came first, the ancient writings or the various Unown. Research into this topic is ongoing but nothing is known."
202,wobbuffet,2,1.3,28.5,142,psychic,,190,33,58,33,33,58,"If two or more Wobbuffet meet, they will turn competitive and try to outdo each other's endurance. However, they may try to see which one can endure the longest without food. Trainers need to beware of this habit."
203,girafarig,2,1.5,41.5,159,normal,psychic,70,80,65,85,90,65,"Girafarig's rear head also has a brain, but it is small. The rear head attacks in response to smells and sounds. Approaching this Pokémon from behind can cause the rear head to suddenly lash out and bite."
204,pineco,2,0.6,7.2,58,bug,,50,65,90,15,35,35,"Pineco hangs from a tree branch and patiently waits for prey to come along. If the Pokémon is disturbed while eating by someone shaking its tree, it drops down to the ground and explodes with no warning."
205,forretress,2,1.2,125.8,163,bug,steel,75,90,140,40,60,60,"Forretress conceals itself inside its hardened steel shell. The shell is opened when the Pokémon is catching prey, but it does so at such a quick pace that the shell's inside cannot be seen."
206,dunsparce,2,1.5,14.0,145,normal,,100,70,70,45,65,65,"Dunsparce has a drill for its tail. It uses this tail to burrow into the ground backward. This Pokémon is known to make its nest in complex shapes deep under the ground."
207,gligar,2,1.1,64.8,86,ground,flying,65,75,105,85,35,65,"Gligar glides through the air without a sound as if it were sliding. This Pokémon hangs on to the face of its foe using its clawed hind legs and the large pincers on its forelegs, then injects the prey with its poison barb."
208,steelix,2,9.2,400.0,179,steel,ground,75,85,200,30,55,65,"Steelix lives even further underground than Onix. This Pokémon is known to dig toward the earth's core. There are records of this Pokémon reaching a depth of over six-tenths of a mile underground."
209,snubbull,2,0.6,7.8,60,fairy,,60,80,50,30,40,40,"By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee."
210,granbull,2,1.4,48.7,158,fairy,,90,120,75,45,60,60,"Granbull has a particularly well-developed lower jaw. The enormous fangs are heavy, causing the Pokémon to tip its head back for balance. Unless it is startled, it will not try to bite indiscriminately."
211,qwilfish,2,0.5,3.9,88,water,poison,65,95,85,85,55,55,"Qwilfish sucks in water, inflating itself. This Pokémon uses the pressure of the water it swallowed to shoot toxic quills all at once from all over its body. It finds swimming somewhat challenging."
212,scizor,2,1.8,118.0,175,bug,steel,70,130,100,65,55,80,"Scizor has a body with the hardness of steel. It is not easily fazed by ordinary sorts of attacks. This Pokémon flaps its wings to regulate its body temperature."
213,shuckle,2,0.6,20.5,177,bug,rock,20,10,230,5,10,230,"Shuckle quietly hides itself under rocks, keeping its body concealed inside its hard shell while eating berries it has stored away. The berries mix with its body fluids to become a juice."
214,heracross,2,1.5,54.0,175,bug,fighting,80,125,75,85,40,95,"Heracross charges in a straight line at its foe, slips beneath the foe's grasp, and then scoops up and hurls the opponent with its mighty horn. This Pokémon even has enough power to topple a massive tree."
215,sneasel,2,0.9,28.0,86,dark,ice,55,95,55,115,35,75,"Sneasel scales trees by punching its hooked claws into the bark. This Pokémon seeks out unguarded nests and steals eggs for food while the parents are away."
216,teddiursa,2,0.6,8.8,66,normal,,60,80,50,40,50,50,"This Pokémon likes to lick its palms that are sweetened by being soaked in honey. Teddiursa concocts its own honey by blending fruits and pollen collected by Beedrill."
217,ursaring,2,1.8,125.8,175,normal,,90,130,75,55,75,75,"In the forests inhabited by Ursaring, it is said that there are many streams and towering trees where they gather food. This Pokémon walks through its forest gathering food every day."
218,slugma,2,0.7,35.0,50,fire,,40,40,40,20,70,40,"Molten magma courses throughout Slugma's circulatory system. If this Pokémon is chilled, the magma cools and hardens. Its body turns brittle and chunks fall off, reducing its size."
219,magcargo,2,0.8,55.0,151,fire,rock,60,50,120,30,90,80,"Magcargo's shell is actually its skin that hardened as a result of cooling. Its shell is very brittle and fragile—just touching it causes it to crumble apart. This Pokémon returns to its original size by dipping itself in magma."
220,swinub,2,0.4,6.5,50,ice,ground,50,50,40,50,30,30,"Swinub roots for food by rubbing its snout against the ground. Its favorite food is a mushroom that grows under the cover of dead grass. This Pokémon occasionally roots out hot springs."
221,piloswine,2,1.1,55.8,158,ice,ground,100,100,80,50,60,60,"Piloswine is covered by a thick coat of long hair that enables it to endure the freezing cold. This Pokémon uses its tusks to dig up food that has been buried under ice."
222,corsola,2,0.6,5.0,144,water,rock,65,55,95,35,65,95,"Corsola's branches glitter very beautifully in seven colors when they catch sunlight. If any branch breaks off, this Pokémon grows it back in just one night."
223,remoraid,2,0.6,12.0,60,water,,35,65,35,65,65,35,"Remoraid sucks in water, then expels it at high velocity using its abdominal muscles to shoot down flying prey. When evolution draws near, this Pokémon travels downstream from rivers."
224,octillery,2,0.9,28.5,168,water,,75,105,75,45,105,75,"Octillery grabs onto its foe using its tentacles. This Pokémon tries to immobilize it before delivering the finishing blow. If the foe turns out to be too strong, Octillery spews ink to escape."
225,delibird,2,0.9,16.0,116,ice,flying,45,55,45,75,65,45,"Delibird carries its food bundled up in its tail. There once was a famous explorer who managed to reach the peak of the world's highest mountain, thanks to one of these Pokémon sharing its food."
226,mantine,2,2.1,220.0,170,water,flying,85,40,70,70,80,140,"On sunny days, schools of Mantine can be seen elegantly leaping over the sea's waves. This Pokémon is not bothered by the Remoraid that hitches rides."
227,skarmory,2,1.7,50.5,163,steel,flying,65,80,140,70,40,70,"Skarmory is entirely encased in hard, protective armor. This Pokémon flies at close to 190 mph. It slashes foes with its wings that possess swordlike cutting edges."
228,houndour,2,0.6,10.8,66,dark,fire,45,60,30,65,80,50,"Houndour hunt as a coordinated pack. They communicate with each other using a variety of cries to corner their prey. This Pokémon's remarkable teamwork is unparalleled."
229,houndoom,2,1.4,35.0,175,dark,fire,75,90,50,95,110,80,"In a Houndoom pack, the one with its horns raked sharply toward the back serves a leadership role. These Pokémon choose their leader by fighting among themselves."
230,kingdra,2,1.8,152.0,243,water,dragon,75,95,95,85,95,95,"Kingdra lives at extreme ocean depths that are otherwise uninhabited. It has long been believed that the yawning of this Pokémon creates spiraling ocean currents."
231,phanpy,2,0.5,33.5,66,ground,,90,60,60,40,40,40,"For its nest, Phanpy digs a vertical pit in the ground at the edge of a river. It marks the area around its nest with its trunk to let the others know that the area has been claimed."
232,donphan,2,1.1,120.0,175,ground,,90,120,120,50,60,60,"Donphan's favorite attack is curling its body into a ball, then charging at its foe while rolling at high speed. Once it starts rolling, this Pokémon can't stop very easily."
233,porygon2,2,0.6,32.5,180,normal,,85,80,90,60,105,95,"Porygon2 was created by humans using the power of science. The man-made Pokémon has been endowed with artificial intelligence that enables it to learn new gestures and emotions on its own."
234,stantler,2,1.4,71.2,163,normal,,73,95,62,85,85,65,"Stantler's magnificent antlers were traded at high prices as works of art. As a result, this Pokémon was hunted close to extinction by those who were after the priceless antlers."
235,smeargle,2,1.2,58.0,88,normal,,55,20,35,75,20,45,"Smeargle marks the boundaries of its territory using a body fluid that leaks out from the tip of its tail. Over 5,000 different marks left by this Pokémon have been found."
236,tyrogue,2,0.7,21.0,42,fighting,,35,35,35,35,35,35,"Tyrogue becomes stressed out if it does not get to train every day. When raising this Pokémon, the Trainer must establish and uphold various training methods."
237,hitmontop,2,1.4,48.0,159,fighting,,50,95,95,70,35,110,"Hitmontop spins on its head at high speed, all the while delivering kicks. This technique is a remarkable mix of both offense and defense at the same time. The Pokémon travels faster spinning than it does walking."
238,smoochum,2,0.4,6.0,61,ice,psychic,45,30,15,65,85,65,"Smoochum actively runs about, but also falls quite often. Whenever the chance arrives, it will look for its reflection to make sure its face hasn't become dirty."
239,elekid,2,0.6,23.5,72,electric,,45,63,37,95,65,55,"Elekid stores electricity in its body. If it touches metal and accidentally discharges all its built-up electricity, this Pokémon begins swinging its arms in circles to recharge itself."
240,magby,2,0.7,21.4,73,fire,,45,75,37,83,70,55,"Magby's state of health is determined by observing the fire it breathes. If the Pokémon is spouting yellow flames from its mouth, it is in good health. When it is fatigued, black smoke will be mixed in with the flames."
241,miltank,2,1.2,75.5,172,normal,,95,80,105,100,40,70,"Miltank gives over five gallons of milk on a daily basis. Its sweet milk is enjoyed by children and grown-ups alike. People who can't drink milk turn it into yogurt and eat it instead."
242,blissey,2,1.5,46.8,608,normal,,255,10,10,55,75,135,"Blissey senses sadness with its fluffy coat of fur. If it does so, this Pokémon will rush over to a sad person, no matter how far away, to share a Lucky Egg that brings a smile to any face."
243,raikou,2,1.9,178.0,261,electric,,90,85,75,115,115,100,"Raikou embodies the speed of lightning. The roars of this Pokémon send shock waves shuddering through the air and shake the ground as if lightning bolts had come crashing down."
244,entei,2,2.1,198.0,261,fire,,115,115,85,100,90,75,"Entei embodies the passion of magma. This Pokémon is thought to have been born in the eruption of a volcano. It sends up massive bursts of fire that utterly consume all that they touch."
245,suicune,2,2.0,187.0,261,water,,100,75,115,85,90,115,"Suicune embodies the compassion of a pure spring of water. It runs across the land with gracefulness. This Pokémon has the power to purify dirty water."
246,larvitar,2,0.6,72.0,60,rock,ground,50,64,50,41,45,50,"Larvitar is born deep under the ground. To come up to the surface, this Pokémon must eat its way through the soil above. Until it does so, Larvitar cannot see its parents."
247,pupitar,2,1.2,152.0,144,rock,ground,70,84,70,51,65,70,"Pupitar creates a gas inside its body that it compresses and forcefully ejects to propel itself like a jet. The body is very durable—it avoids damage even if it hits solid steel."
248,tyranitar,2,2.0,202.0,270,rock,dark,100,134,110,61,95,100,"Tyranitar is so overwhelmingly powerful, it can bring down a whole mountain to make its nest. This Pokémon wanders about in mountains seeking new opponents to fight."
249,lugia,2,5.2,216.0,306,psychic,flying,106,90,130,110,90,154,"Lugia's wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea."
250,ho-oh,2,3.8,199.0,306,fire,flying,106,130,90,90,110,154,"Ho-Oh's feathers glow in seven colors depending on the angle at which they are struck by light. These feathers are said to bring happiness to the bearers. This Pokémon is said to live at the foot of a rainbow."
251,celebi,2,0.6,5.0,270,psychic,grass,100,100,100,100,100,100,"This Pokémon came from the future by crossing over time. It is thought that so long as Celebi appears, a bright and shining future awaits us."
252,treecko,3,0.5,5.0,62,grass,,40,45,35,70,65,55,"Treecko has small hooks on the bottom of its feet that enable it to scale vertical walls. This Pokémon attacks by slamming foes with its thick tail."
253,grovyle,3,0.9,21.6,142,grass,,50,65,45,95,85,65,"The leaves growing out of Grovyle's body are convenient for camouflaging it from enemies in the forest. This Pokémon is a master at climbing trees in jungles."
254,sceptile,3,1.7,52.2,239,grass,,70,85,65,120,105,85,"The leaves growing on Sceptile's body are very sharp edged. This Pokémon is very agile—it leaps all over the branches of trees and jumps on its foe from above or behind."
255,torchic,3,0.4,2.5,62,fire,,45,60,40,45,70,50,"Torchic sticks with its Trainer, following behind with unsteady steps. This Pokémon breathes fire of over 1,800 degrees Fahrenheit, including fireballs that leave the foe scorched black."
256,combusken,3,0.9,19.5,142,fire,fighting,60,85,60,55,85,60,"Combusken toughens up its legs and thighs by running through fields and mountains. This Pokémon's legs possess both speed and power, enabling it to dole out 10 kicks in one second."
257,blaziken,3,1.9,52.0,239,fire,fighting,80,120,70,80,110,70,"In battle, Blaziken blows out intense flames from its wrists and attacks foes courageously. The stronger the foe, the more intensely this Pokémon's wrists burn."
258,mudkip,3,0.4,7.6,62,water,,50,70,50,40,50,50,"The fin on Mudkip's head acts as highly sensitive radar. Using this fin to sense movements of water and air, this Pokémon can determine what is taking place around it without using its eyes."
259,marshtomp,3,0.7,28.0,142,water,ground,70,85,70,50,60,70,"The surface of Marshtomp's body is enveloped by a thin, sticky film that enables it to live on land. This Pokémon plays in mud on beaches when the ocean tide is low."
260,swampert,3,1.5,81.9,241,water,ground,100,110,90,60,85,90,"Swampert is very strong. It has enough power to easily drag a boulder weighing more than a ton. This Pokémon also has powerful vision that lets it see even in murky water."
261,poochyena,3,0.5,13.6,56,dark,,35,55,35,35,30,30,"At first sight, Poochyena takes a bite at anything that moves. This Pokémon chases after prey until the victim becomes exhausted. However, it may turn tail if the prey strikes back."
262,mightyena,3,1.0,37.0,147,dark,,70,90,70,70,60,60,"Mightyena gives obvious signals when it is preparing to attack. It starts to growl deeply and then flattens its body. This Pokémon will bite savagely with its sharply pointed fangs."
263,zigzagoon,3,0.4,17.5,56,normal,,38,30,41,60,30,41,"Zigzagoon restlessly wanders everywhere at all times. This Pokémon does so because it is very curious. It becomes interested in anything that it happens to see."
264,linoone,3,0.5,32.5,147,normal,,78,70,61,100,50,61,"Linoone always runs full speed and only in straight lines. If facing an obstacle, it makes a right-angle turn to evade it. This Pokémon is very challenged by gently curving roads."
265,wurmple,3,0.3,3.6,56,bug,,45,45,35,20,20,30,"Using the spikes on its rear end, Wurmple peels the bark off trees and feeds on the sap that oozes out. This Pokémon's feet are tipped with suction pads that allow it to cling to glass without slipping."
266,silcoon,3,0.6,10.0,72,bug,,50,35,55,15,25,25,"Silcoon tethers itself to a tree branch using silk to keep from falling. There, this Pokémon hangs quietly while it awaits evolution. It peers out of the silk cocoon through a small hole."
267,beautifly,3,1.0,28.4,178,bug,flying,60,70,50,65,100,50,"Beautifly's favorite food is the sweet pollen of flowers. If you want to see this Pokémon, just leave a potted flower by an open window. Beautifly is sure to come looking for pollen."
268,cascoon,3,0.7,11.5,72,bug,,50,35,55,15,25,25,"Cascoon makes its protective cocoon by wrapping its body entirely with a fine silk from its mouth. Once the silk goes around its body, it hardens. This Pokémon prepares for its evolution inside the cocoon."
269,dustox,3,1.2,31.6,173,bug,poison,60,50,70,65,50,90,"Dustox is instinctively drawn to light. Swarms of this Pokémon are attracted by the bright lights of cities, where they wreak havoc by stripping the leaves off roadside trees for food."
270,lotad,3,0.5,2.6,44,water,grass,40,30,30,30,40,50,"Lotad live in ponds and lakes, where they float on the surface. It grows weak if its broad leaf dies. On rare occasions, this Pokémon travels on land in search of clean water."
271,lombre,3,1.2,32.5,119,water,grass,60,50,50,50,60,70,"Lombre is nocturnal—it will get active after dusk. It is also a mischief maker. When this Pokémon spots anglers, it tugs on their fishing lines from beneath the surface and enjoys their consternation."
272,ludicolo,3,1.5,55.0,216,water,grass,80,70,70,70,90,100,"Ludicolo begins dancing as soon as it hears cheerful, festive music. This Pokémon is said to appear when it hears the singing of children on hiking outings."
273,seedot,3,0.5,4.0,44,grass,,40,40,50,30,30,30,"Seedot attaches itself to a tree branch using the top of its head. It sucks moisture from the tree while hanging off the branch. The more water it drinks, the glossier this Pokémon's body becomes."
274,nuzleaf,3,1.0,28.0,119,grass,dark,70,70,40,60,60,40,"Nuzleaf live in densely overgrown forests. They occasionally venture out of the forest to startle people. This Pokémon dislikes having its long nose pinched."
275,shiftry,3,1.3,59.6,216,grass,dark,90,100,60,80,90,60,"Shiftry is a mysterious Pokémon that is said to live atop towering trees dating back over a thousand years. It creates terrific windstorms with the fans it holds."
276,taillow,3,0.3,2.3,54,normal,flying,40,55,30,85,30,30,"Taillow courageously stands its ground against foes, however strong they may be. This gutsy Pokémon will remain defiant even after a loss. On the other hand, it cries loudly if it becomes hungry."
277,swellow,3,0.7,19.8,159,normal,flying,60,85,60,125,75,50,"Swellow flies high above our heads, making graceful arcs in the sky. This Pokémon dives at a steep angle as soon as it spots its prey. The hapless prey is tightly grasped by Swellow's clawed feet, preventing escape."
278,wingull,3,0.6,9.5,54,water,flying,40,30,30,85,55,30,"Wingull has the habit of carrying prey and valuables in its beak and hiding them in all sorts of locations. This Pokémon rides the winds and flies as if it were skating across the sky."
279,pelipper,3,1.2,28.0,154,water,flying,60,50,100,65,95,70,"Pelipper is a flying transporter that carries small Pokémon and eggs inside its massive bill. This Pokémon builds its nest on steep cliffs facing the sea."
